entidad,n_fondos,importe_total,sog_medio,res_medio,via_medio,score_medio,icr,score_riesgo,nivel_riesgo
Europalia Internacional,2,1700000.0,35.0,44.0,62.5,37.95,2.5,32.6,Medio
FA - Fondo de Adaptación al Cambio Climático,2,32500000.0,75.0,58.0,70.0,57.65,2.5,49.4,Medio
FAMME - Federación de Asociaciones Medicus Mundi en España,2,1442100.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
FAO - Organización de las Naciones Unidas para la Alimentación y la Agricultura,10,7050000.0,67.0,58.0,72.8,55.410000000000004,2.5,47.5,Medio
"FCSAI - Fundación Estatal Salud, Infancia y Bienestar Social",1,1634249.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
FEMP - Federación Española de Municipios y Provincias,1,250000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
FEPP - Fondo Ecuatoriano Populorum Progressio,1,350000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
FFLA - Fundación Futuro Latinoamericano Internacional,1,400000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
FIDA - Fondo Internacional de Desarrollo Agrícola,1,350000.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
FILAC - Fondo para el Desarrollo de los Pueblos Indígenas de America Latina,2,690000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
FMS - Fondo de Mujeres del Sur,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
FORMASOL - Formación Solidaria,1,136000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
FPSC - Fundación Promoción Social de la Cultura,5,3844248.0,41.0,44.0,61.8,39.91,2.5,34.3,Medio
FRS - Fundación de Religiosos para la Salud,4,2488980.0,40.0,44.0,55.0,38.199999999999996,2.5,32.8,Medio
FUDEN - Fundación para el Desarrollo,1,352111.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
FUDIS - Fundación para el Desarrollo Integrado Sustentable,1,202840.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
FUNDEMAS,1,600000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fair Trade Lebanon,1,400000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Farmacéuticos Mundi,5,3897747.0,41.0,44.0,60.6,39.669999999999995,2.5,34.1,Medio
Federación Dominicana de Municipios,1,350000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Federación Internacional de la Cruz Roja,2,11860000.0,35.0,44.0,69.0,39.25,2.5,33.7,Medio
Federación Nacional de Formas Asoci para las Economias Sociales Ecomun,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Federación Nacional de Trabajadoras y Trabajadores del Hogar del Perú FENTTRAHOP,1,300000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Fondo Fiduciario para Combatir la Migración Ilegal y la Protección de los Migrantes,1,1043039.0,45.0,44.0,62.0,41.349999999999994,2.5,35.5,Medio
"Fondo Mundial de Lucha contra el SIDA, la Tuberculosis y la Malaria",1,85000000.0,75.0,58.0,70.0,57.65,2.5,49.4,Medio
Fondo de Población de Naciones Unidas,21,18245000.0,41.19047619047619,44.0,66.52380952380952,40.921428571428564,2.5,35.2,Medio
"Front Line, The International Foundation for the Protection of Human Rights Defenders",1,1500000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
Fundació Privada Mon-3,2,685852.0,25.0,44.0,40.0,29.95,2.5,25.8,Medio
Fundació Privada Ulls del Mon,3,1361756.0,31.666666666666668,44.0,62.666666666666664,36.81666666666666,2.5,31.7,Medio
Fundación ADRA - Agencia Adventista para el Desarrollo y Recursos Asistenciales,1,958215.0,45.0,44.0,75.0,43.949999999999996,2.5,37.7,Medio
Fundación ATASIM,1,150000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación ATHISA,1,404800.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
Fundación Acciona Microenergía,1,990000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Acciona Org Mexico,1,899267.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Acción Contra el Hambre,8,7252330.0,45.0,44.0,62.625,41.474999999999994,2.5,35.6,Medio
Fundación Acodea,1,497645.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Fundación Alas de Colibrí,1,300000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación Albihar,2,1264987.0,45.0,44.0,50.0,38.949999999999996,2.5,33.5,Medio
Fundación Alboan,1,958969.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Fundación Albéniz,1,177000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Fundación Amigos de la Naturaleza,2,1800000.0,45.0,44.0,52.0,39.349999999999994,2.5,33.8,Medio
Fundación Avina,2,899999.0,35.0,44.0,58.5,37.15,2.5,32.0,Medio
Fundación Ayuda en Acción,8,6053304.0,40.0,44.0,66.375,40.474999999999994,2.5,34.8,Medio
Fundación CAJE - Fundación Centro y Apoyo Ecuatoriano,1,249999.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Fundación CIDEAL de Cooperación e Investigación,3,2255289.0,45.0,44.0,64.0,41.74999999999999,2.5,35.9,Medio
