id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso,codigo_crs,ambito,region_ocde,score_cruce,en_place,score_cruce_bdns,en_bdns,id_bdns,eslabon_corte,nombre_eslabon,score_trazabilidad,ruptura_r1,ruptura_r2,ruptura_r3,es_ooii,score_riesgo,score_trazabilidad_inv,score_integrado,clasificacion
z11-25-01-02804,Apoyo la investigación y formación en enfermedades tropicales desatendidas,OMS - Organización Mundial de la Salud,12110 - Política sanitaria y gestión administrativa,Países en Vías de Desarrollo (No Especificado),100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02804,12110,Salud,No Especificado,0,False,55.072463768115945,False,,3,Registro en OOII / BDNS,42,True,True,False,True,47.2,58,51.52,NARANJA
z11-25-01-02803,Atención quirúrgica esencial y de emergencias y fortalecimiento de la formación sanitaria,OMS - Organización Mundial de la Salud,12110 - Política sanitaria y gestión administrativa,Países en Vías de Desarrollo (No Especificado),800000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02803,12110,Salud,No Especificado,0,False,55.072463768115945,False,,3,Registro en OOII / BDNS,42,True,True,True,True,47.2,58,51.52,NARANJA
z11-25-01-02802,Refuerzo estratégico de la Organización Mundial de la Salud,OMS - Organización Mundial de la Salud,12110 - Política sanitaria y gestión administrativa,Países en Vías de Desarrollo (No Especificado),1500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02802,12110,Salud,No Especificado,0,False,55.072463768115945,False,,3,Registro en OOII / BDNS,42,True,True,True,True,47.2,58,51.52,NARANJA
z11-25-01-02700,Prevención del desplazamiento forzoso de la población palestina en Cisjordania,DG ECHO - Dirección General de Protección Civil y Operaciones de Ayuda Humanitaria Europeas,72050 - Coordinación de la ayuda y servicios de apoyo,Palestina,1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02700,72050,Acción Humanitaria,Norte de África y Oriente Medio,0,False,49.66442953020134,False,,4,Destino geográfico declarado,56,False,True,True,False,37.2,44,39.92,AMARILLO
z11-25-01-02400,Festival Internacional Europalia 2025,Europalia Internacional,11420 - Educación universitaria,Europa Central y Oriental (No Especificado),1400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02400,11420,Educación,No Especificado,0,False,65.51724137931035,False,,4,Destino geográfico declarado,56,False,True,True,False,32.6,44,37.16,AMARILLO
z11-25-01-02200,Proyectos e iniciativas de cooperación regional orientadas al desarrollo sostenible en el Mediterráneo,UpM - Unión por el Mediterráneo,43010 - Ayuda multisectorial,Mediterráneo y Mundo Árabe (No Especificado),1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02200,43010,Sector 43xx,No Especificado,0,False,52.17391304347826,False,,4,Destino geográfico declarado,56,False,True,True,False,36.9,44,39.739999999999995,AMARILLO
z11-25-01-02100,Capacitación y formación de especialistas en desarrollo agroalimentariosostenible en países árabes,CIHEAM - Instituto Agronómico Mediterráneo de Zaragoza,31181 - Enseñanza / formación agraria; 31120 - Desarrollo agrario,Mediterráneo y Mundo Árabe (No Especificado),200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02100,31181,Desarrollo Rural y Seguridad Alimentaria,No Especificado,0,False,51.48514851485149,False,,4,Destino geográfico declarado,56,False,True,False,False,30.9,44,36.14,AMARILLO
z11-25-01-01905,Prevención y respuesta ante la violencia sexual en conflictos armados,CICR - Comité International de la Croix-Rouge,72050 - Coordinación de la ayuda y servicios de apoyo,Países en Vías de Desarrollo (No Especificado),400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01905,72050,Acción Humanitaria,No Especificado,0,False,68.49315068493152,False,,4,Destino geográfico declarado,56,False,True,False,False,28.2,44,34.519999999999996,AMARILLO
z11-25-01-01904,Asistencia y protección para personas vulnerables,CICR - Comité International de la Croix-Rouge,72050 - Coordinación de la ayuda y servicios de apoyo,Mozambique,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01904,72050,Acción Humanitaria,África Subsahariana,100,True,68.49315068493152,False,,5,Contratos publicados en PLACE/OCDS,70,False,False,True,False,28.2,30,28.919999999999998,AMARILLO
z11-25-01-01705,Atención de personas refugiadas y comunidades de acogida,Asociación España Con ACNUR,72010 - Ayuda y servicios materiales de emergencia,Mauritania,1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01705,72010,Acción Humanitaria,Norte de África y Oriente Medio,0,False,100.0,True,SB149785495,3,Registro en OOII / BDNS,42,True,True,True,True,42.4,58,48.64,AMARILLO
z11-25-01-01702,Acceso a salud pública de la polación saharaui refugiada,Asociación España Con ACNUR,72011 - Servicios básicos de salud en emergencias,Población Refugiada Saharaui,900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01702,72011,Acción Humanitaria,Otras Regiones,0,False,100.0,True,SB149785495,3,Registro en OOII / BDNS,42,True,True,True,True,42.4,58,48.64,AMARILLO
z11-25-01-01607,Contribución al Fondo Humanitario de Ucrania de la Oficina de Naciones Unidas para la Coordinación de Asuntos Humanitarios (OCHA),OCHA - Oficina de Coordinación de Asuntos Humanitarios,72050 - Coordinación de la ayuda y servicios de apoyo,Ucrania,1700000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01607,72050,Acción Humanitaria,Otras Regiones,0,False,57.14285714285714,False,,4,Destino geográfico declarado,56,False,True,True,False,34.3,44,38.18,AMARILLO
z11-25-01-01603,Contribución al Fondo Humanitario de Palestina de la Oficina de Naciones Unidas para la Coordinación de Asuntos Humanitarios (OCHA),OCHA - Oficina de Coordinación de Asuntos Humanitarios,72050 - Coordinación de la ayuda y servicios de apoyo,Palestina,1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01603,72050,Acción Humanitaria,Norte de África y Oriente Medio,0,False,57.14285714285714,False,,4,Destino geográfico declarado,56,False,True,True,False,34.3,44,38.18,AMARILLO
z11-25-01-01001,Respuesta a la emergencia causada por la guerra en Líbano,PMA - Programa Mundial de Alimentos,72040 - Asistencia alimentaria de emergencia,Líbano,1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-01001,72040,Acción Humanitaria,Norte de África y Oriente Medio,0,False,53.84615384615385,False,,3,Registro en OOII / BDNS,42,True,True,True,True,44.7,58,50.02,NARANJA
z11-25-01-00501,Promoción de la cooperación cultural en Iberoamérica,"OEI - Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",16061 - Cultura y ocio,América Latina y Caribe (No Especificado),380000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-00501,16061,Sector 16xx,No Especificado,0,False,65.18518518518519,False,,4,Destino geográfico declarado,56,False,True,False,False,28.7,44,34.82,AMARILLO
z11-25-01-00200,Protección social y seguridad social en América Latina,OISS - Organización Iberoamericana de Seguridad Social,16012 - Seguridad social (excluidas las pensiones); 16010 - Protección social,América Latina y Caribe (No Especificado),600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-00200,16012,Sector 16xx,No Especificado,0,False,50.0,False,,4,Destino geográfico declarado,56,False,True,True,False,36.9,44,39.739999999999995,AMARILLO
z11-25-01-00100,Apoyo a los derechos humanos y la democracia en América Latina,OEA - Organización Estados Americanos,15220 - Construcción de la Paz y prevención y solución de conflictos; 15160 - Derechos humanos; 15151 - Procesos electorales,América Latina y Caribe (No Especificado),2000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-00100,15220,Gobernabilidad Democrática,No Especificado,0,False,54.761904761904766,False,,4,Destino geográfico declarado,56,False,True,True,False,36.9,44,39.739999999999995,AMARILLO
z11-24-01-05500,Promoción de la riqueza cultural española en Europa,Europalia Internacional,11420 - Educación universitaria,Bélgica,300000.0,2024-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-24-01-05500,11420,Educación,Otras Regiones,0,False,65.51724137931035,False,,4,Destino geográfico declarado,56,False,True,False,False,32.6,44,37.16,AMARILLO
z11-24-01-05403,Iniciativa regional para eliminar el trabajo infantil en América Latina y el Caribe,OIT - Organización Internacional del Trabajo,15160 - Derechos humanos,Países en Vías de Desarrollo (No Especificado),500000.0,2024-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-24-01-05403,15160,Gobernabilidad Democrática,No Especificado,0,False,57.14285714285714,False,,3,Registro en OOII / BDNS,42,True,True,True,True,46.8,58,51.28,NARANJA
z11-24-01-05402,Transición de la economía informal a la economía formal,OIT - Organización Internacional del Trabajo,"16011 - Política, planificación y administración de servicios de protección social y bienestar; 16020 - Creación de empleo",Países en Vías de Desarrollo (No Especificado),4500000.0,2024-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-24-01-05402,16011,Sector 16xx,No Especificado,0,False,57.14285714285714,False,,3,Registro en OOII / BDNS,42,True,True,True,True,46.8,58,51.28,NARANJA
