Fecha,Seccion,Organismo,Detalle,Link,Alerta
20260121,tercera,Ver Detalle,"UNIVERSIDAD DE BUENOS AIRES - 
DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN DE CONTRATACIONESLicitación Pública 01/2026",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407004/20260121,True
20260121,tercera,Ver Detalle,"UNIVERSIDAD NACIONAL DE LA PLATA - 
SECRETARÍA DE PLANEAMIENTO, OBRAS Y SERVICIOSLicitación Pública 01/26",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407005/20260121,True
20260121,tercera,Ver Detalle,PROVINCIA DEL CHUBUT  - MUNICIPALIDAD DE RÍO MAYOLicitación Pública 01/2026 – M.R.M.,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407006/20260121,True
20260121,tercera,Ver Detalle,"AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO - 
DIRECCIÓN REGIONAL ADUANERA NORESTELicitación Pública 04/2026",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407007/20260121,True
20260121,tercera,Ver Detalle,"AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO  - 
DIRECCIÓN REGIONAL ADUANERA AUSTRALLicitación Pública 28/25",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407008/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0009/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407009/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0017/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407010/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0028/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407011/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0030/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407012/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0031/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407013/20260121,True
20260121,tercera,Ver Detalle,"AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO - 
DIRECCIÓN REGIONAL ADUANERA AUSTRALLicitación Pública 01/26",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407014/20260121,True
20260121,tercera,Ver Detalle,NUCLEOELÉCTRICA ARGENTINA S.A.Licitación Pública,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407015/20260121,True
20260121,tercera,Ver Detalle,DIRECCIÓN DE OBRA SOCIAL DEL SERVICIO PENITENCIARIO FEDERALSelección por Concurso SC-7-2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407016/20260121,False
20260121,tercera,Ver Detalle,GOBIERNO DE LA PROVINCIA DE RÍO NEGRO - SECRETARÍA DE HIDROCARBUROS - SECRETARÍA DE ESTADO DE ENERGÍA Y AMBIENTEConcurso Público Nacional e Internacional 02/25,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407017/20260121,False
20260121,tercera,Ver Detalle,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOSSubasta On Line con Base 3813,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407018/20260121,False
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1082/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407019/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1087/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407020/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1089/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407021/20260121,True
20260121,tercera,Ver Detalle,"AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO  - 
DIRECCIÓN REGIONAL ADUANERA NORESTEContratación Directa 82/25",https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407022/20260121,False
