id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso
z03-25-01-21400,"Comunicación comunitaria para la defensa de derechos indígenas en Pando, Bolivia",CEFREC - Fundación para el desarrollo de la comunicación intercultural,15150 - Fortalecimiento de la sociedad civil,Bolivia,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21400
z03-25-01-21300,Planificación energética basada en evidencia en Bolivia,OLADE - Organización Latinoamericana de Energía,"23111 - Política, planificación y administración del sector energético",Bolivia,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21300
z03-25-01-21200,Apoyo a personas con discapacidad en Marruecos: empleo y entornos accesibles,Trésorerie Géneràle du Royaume,15160 - Derechos humanos,Marruecos,150000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21200
z03-25-01-21100,Resiliencia comunitaria y adaptación climática en Bolivia,Fundación Amigos de la Naturaleza,41030 - Biodiversidad; 31220 - Desarrollo forestal,Bolivia,900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21100
z03-25-01-21000,Transición a la economía circular en el sistema agrario de Centroamérica,Asociación Vredeseilanden-Coopibo,31161 - Producción de alimentos agrícolas,"Guatemala, Honduras, Nicaragua",900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21000
z03-25-01-20900,Reciclaje y economía circular en Mesoamérica,Fundación Avina,14050 - Eliminación / tratamiento residuos sólidos,"Costa Rica, El Salvador, Guatemala, Honduras",750000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20900
z03-25-01-20800,Innovaciones climáticas y de género en la caficultura de Etiopía,EIAR - Ethiopian Institute for Agricultural Research,41010 - Política medioambiental y gestión administrativa; 41082 - Investigación medioambiental,Etiopía,350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20800
z03-25-01-20700,Economía circular basada en el bambú,Organización Internacional del,25030 - Servicios de desarrollo empresarial; 32130 - Desarrollo de PYMES; 31220 - Desarrollo forestal,Etiopía,790000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20700
z03-25-01-20600,Gestión sostenible de cuencas hidrográficas en Guatemala,Asociación Suiza para el Desarrollo y la Cooperación Helvetas Guatemala,14010 - Política de recursos hídricos y gestión administrativa; 14015 - Protección de recursos hídricos; 32130 - Desarrollo de PYMES,Guatemala,900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20600
z03-25-01-20400,Turismo comunitario y conservación en la Selva Maya de México,Pro Conservación Peninsular,14015 - Protección de recursos hídricos; 33210 - Política turística y gestión administrativa; 41030 - Biodiversidad; 41081 - Educación / formación medioambiental,México,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20400
z03-25-01-20300,"Prevención de la violencia contra las mujeres en Alto Paraná, Paraguay",Asociación Feminista Kuña Poty,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Paraguay,125000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20300
z03-25-01-20100,Gestión integrada del agua y reducción del riesgo hídrico en Uruguay,CND - Corporación Nacional para el Desarrollo,14015 - Protección de recursos hídricos,Uruguay,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20100
z03-25-01-20000,Respuesta institucional y comunitaria frente a la trata de personas en Ecuador,Fundación Alas de Colibrí,15160 - Derechos humanos,Ecuador,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-20000
z03-25-01-19800,Impulso al programa Ecuador Carbono Cero,Fundación para el Avance de las Reformas y las Oportunidades Grupo Faro,41020 - Protección de la biosfera,Ecuador,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19800
z03-25-01-19500,Transparencia y rendición de cuentas en la cooperación al desarrollo,Publish What You Fund LTD,15110 - Política de administración y gestión del sector público,España,40000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19500
z03-25-01-19400,Participación ciudadana y cultura democrática en Paraguay,"Decidamos, Campaña Por la Expresión",15150 - Fortalecimiento de la sociedad civil,Paraguay,215000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19400
z03-25-01-19300,Memoria democrática y derechos humanos a través de la cooperación cultural con Chile,Fundación Museo de la Memoria y los Derechos Humanos,15160 - Derechos humanos,América Latina y Caribe (No Especificado),99800.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19300
z03-25-01-19200,Acceso a servicios de atención y protección para mujeres en Paraguay,Centro de Estudios Judiciales del Paraguay,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Paraguay,215000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19200
z03-25-01-19100,Diálogo y coordinación para fortalecer la democracia en América Latina,SERAPAZ - Servicios y Asesoría para la Paz,15220 - Construcción de la Paz y prevención y solución de conflictos,México,50000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19100
z03-25-01-19000,Atención integral y protección a mujeres víctimas de violencia en Marruecos,Association Droit et Justice,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Marruecos,450000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-19000
z03-25-01-18900,Transformación de la ganadería en El Salvador,Instituto Interamericano para la Agricultura,13010 - Política sobre población y gestión administrativa; 31163 - Ganadería,El Salvador,900000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18900
z03-25-01-18800,Gobernanza forestal colaborativa en el Darién panameño,ANCON - Asociación Nacional para la Conservación de la Naturaleza,14081 - Educación y formación en abastecimiento de agua y saneamiento; 41081 - Educación / formación medioambiental,Panamá,240000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18800
z03-25-01-18700,Libertad de expresión y derechos en el espacio cívico digital en Bolivia,Fundación Construir,15150 - Fortalecimiento de la sociedad civil,Bolivia,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18700
z03-25-01-18400,Desarrollo de Escuelas de Segunda Oportunidad,Agence Marocaine de Coopération,11231 - Habilidades básicas para la vida de los jóvenes,"Marruecos, Níger",100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18400
z03-25-01-18300,Teatro terapéutico en comunidades educativas afectadas por la violencia en Haití,Fundación Cultura y Creación FCC,41040 - Protección del patrimonio cultural,Haití,60000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-18300
