id_convocatoria,numero_bdns,titulo,organo,fecha_publicacion,tipo,estado,url,fuente,importe_total_eur,n_beneficiarios
598795,397245,"Resolución de 25 de abril de 2017, de la Presidencia de AECID. Subvenciones Proyectos de Acción Humanitaria",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-05-04,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/397245,BDNS,0.0,0
594494,392944,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba una convocatoria de renovación de los Programas de Becas MAEC-AECID de “prácticas de gestión cultural en el exterior” y de “práctica",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-04-06,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/392944,BDNS,0.0,0
590265,388715,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID de Arte, Educación y Cultura para el curso académico 2018- 2019",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-03-07,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/388715,BDNS,0.0,0
589368,387818,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la Convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2018/2019.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-02-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/387818,BDNS,0.0,0
558573,357025,"Resolución de 14 de julio de 2017, de la Presidencia de AECID. Subvenciones Proyectos de Acción Humanitaria",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2017-07-21,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/357025,BDNS,0.0,0
556405,354857,Resolución de 10 de julio de 2017 de la Presidencia de la AECID por la que se convocan subvenciones a Acciones de Cooperación para el Desarrollo 2017 para la realización de proyectos de innovación para el desarrollo,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2017-07-11,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/354857,BDNS,0.0,0
534964,333416,"Resolución de 21 de febrero de 2017, de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID de Arte, Educación y Cultura para el curso académico",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2017-02-23,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/333416,BDNS,0.0,0
534960,333412,Resolución de 20 de febrero de 2017 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la Convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2017/2018.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2017-02-23,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/333412,BDNS,0.0,0
507932,306384,Resolución de 13 de mayo de 2016 de la Presidencia de la AECID por la que se convocan subvenciones a Acciones de Cooperación para el Desarrollo 2016 para la realización de proyectos de innovación para el desarrollo.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2016-05-17,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/306384,BDNS,0.0,0
507791,306243,Resolución de 13 de mayo de 2016 de la AECID por la que se convocan ayudas a ONGD para proyectos de cooperación internacional para el desarrollo incluidos los de educación para el desarrollo en España,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2016-05-13,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/306243,BDNS,0.0,0
502758,301210,"Resolución de 12 de febrero de 2016, de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID de Arte, Educación y Cultura para el curso académico",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2016-02-12,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/301210,BDNS,0.0,0
502555,301007,Resolución de 29 de enero de 2016 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de lectorados MAEC-AECID en universidades extranjeras para el curso 2016/2017.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2016-02-05,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/301007,BDNS,0.0,0
